                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5869,                 2.1038,                 1.5298,                0.57738,                0.50659,                0.49109,                0.26941,                 1.6072,                 1.7648,                 1.5966,             0.00066565,             0.00066565,             0.00066565
                      2,                 1.5445,                 1.6033,                 1.4781,                0.59415,                0.59199,                0.54807,                0.30964,                 1.4809,                 1.4501,                 1.4679,              0.0012664,              0.0012664,              0.0012664
                      3,                 1.4997,                 1.4837,                  1.442,                0.60213,                0.62701,                0.57186,                0.34027,                 1.4186,                 1.3543,                 1.4259,              0.0018011,              0.0018011,              0.0018011
                      4,                 1.4029,                 1.3255,                 1.3716,                0.64197,                0.70876,                0.63661,                0.40403,                 1.2901,                 1.2285,                 1.3406,               0.001703,               0.001703,               0.001703
                      5,                 1.3281,                 1.1942,                 1.3278,                0.66431,                0.75401,                 0.6802,                0.44516,                 1.2153,                 1.1048,                 1.2814,               0.001604,               0.001604,               0.001604
                      6,                 1.2614,                 1.1035,                 1.2799,                 0.6699,                0.77176,                0.66927,                0.45004,                 1.1376,                 1.0414,                 1.2266,               0.001505,               0.001505,               0.001505
                      7,                 1.2054,                 1.0295,                 1.2494,                0.73396,                0.74088,                0.69666,                0.49015,                 1.0786,                0.99561,                  1.177,               0.001406,               0.001406,               0.001406
                      8,                 1.1649,                0.97926,                 1.2228,                0.73376,                 0.7946,                0.74144,                0.55149,                 0.9879,                0.91713,                 1.1109,               0.001307,               0.001307,               0.001307
                      9,                 1.1177,                0.93246,                 1.1989,                0.72772,                0.80438,                0.74571,                0.53816,                 1.0061,                0.91293,                 1.1237,               0.001208,               0.001208,               0.001208
                     10,                 1.0814,                0.89032,                 1.1733,                0.72633,                0.83107,                0.74701,                0.55772,                0.91756,                0.86987,                 1.0693,               0.001109,               0.001109,               0.001109
                     11,                0.98866,                0.76964,                 1.1271,                0.72971,                0.80992,                0.76485,                0.58787,                0.88364,                0.85302,                 1.0478,                0.00101,                0.00101,                0.00101
                     12,                0.94586,                0.72512,                 1.0999,                0.73902,                0.84536,                0.77696,                0.59815,                0.83799,                0.82277,                 1.0271,               0.000911,               0.000911,               0.000911
                     13,                0.90513,                0.68368,                 1.0746,                0.75869,                0.84672,                0.78912,                0.62694,                 0.7973,                0.75391,                0.99471,               0.000812,               0.000812,               0.000812
                     14,                0.86167,                0.65196,                 1.0496,                 0.7577,                0.85985,                 0.7874,                0.62676,                0.78685,                0.76634,                 1.0017,               0.000713,               0.000713,               0.000713
                     15,                0.83473,                 0.6308,                 1.0357,                0.77148,                  0.828,                0.79641,                0.63721,                0.76479,                0.77559,                0.98987,               0.000614,               0.000614,               0.000614
                     16,                0.79338,                0.59582,                 1.0161,                0.74263,                0.87153,                0.79436,                0.64659,                 0.7217,                0.73565,                0.97556,               0.000515,               0.000515,               0.000515
                     17,                0.76303,                0.57347,                 1.0033,                0.76714,                0.86567,                0.79911,                0.65996,                0.69205,                0.73228,                0.95964,               0.000416,               0.000416,               0.000416
                     18,                0.73367,                0.54777,                0.98804,                0.76773,                0.87445,                0.80602,                0.66801,                0.67062,                0.71196,                0.94698,               0.000317,               0.000317,               0.000317
                     19,                0.70605,                0.53131,                0.97733,                0.76814,                0.87372,                0.82061,                0.68607,                 0.6397,                0.69503,                0.94136,               0.000218,               0.000218,               0.000218
                     20,                0.67521,                0.51105,                0.96321,                0.77878,                0.85693,                0.82203,                0.68667,                0.62589,                0.68411,                0.93552,               0.000119,               0.000119,               0.000119
